autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
hjoyo,"Ventura, California",We did this museum because we figured it would be fun for our 11 yr old daughter. We were the only ones there thanks to the pandemic and it being a Tuesday. The tour gives a lot of information about the equator and the history of Ecuador with the aboriginal people. It was super, February 2021,Fun day with a lot of information 
Ignacio M,"Sofia, Bulgaria","This is the best-guided tour I have ever done in a museum. Our guide, Jamilett, was super nice and energetic, and you could see that she loved what she did. She was super enthusiastic and she made the tour so fun and entertaining, I learnt a lot while having fun, and it was all", February 2021,Best guided tour in a museum ever thanks to Jamilett!
Brandon,"Miami, Florida","The equator line marked in this museum is more recently and accurately calculated than the one in Mitad del Mundo. So, I do recommend visiting this site; however, take their presentations with a grain of salt. Most of their presentations are not scientific based. I give them", November 2020,"Go, but take it with a grain of salt!"
Kim G,"Toronto, Canada","We visited this museum and it was a most enjoyable time. The guide we had (Rinaldo) was super friendly and very knowledgeable about the history of the region.  He made the whole experience fun and took great pictures of us on the ""official"" equator line.   We tried all the", November 2020,Wonderful Experience
michael c,"Ahus, Sweden","but a little bit ""disneyland"" feeling about the whole arrangement. however, this is said to be the real ecuador as opposed to Mitad del Mundo", October 2020,"OK,"
Faye G,"Brea, California","We loved this experience. Fun to stand on the Equator Line. We balanced the egg, walked the line, and visited all the exhibits. We loved learning about the early life in Ecuador.", February 2020,An amazing experience
The Weak Knee Traveler,"Singapore, Singapore","This is not your usual museum which could be boring at times. They are experimental activities here for visitors to participate, such as trying to walk with eyes closed, balancing an egg, etc. Had a really enjoyable time here. ", September 2019,Far from Boring 
Claudia L,,"This museum is beautiful and very cheap.  You have to be very careful when you search for ""La Mitad del Mundo"" you will get  the very touristic place with the big monument but this museum has a Mitad del mundo line and it much better.  ", January 2020,Great!
Sylvie L,"Toronto, Canada",Guided tour was awesome!  Very knowledgeable guide in French for us which was great! Tons of info.  Quick pace. Experiments and demonstrations are what we had come for! My son was able to keep the egg on the nail 4 times and got a certificate.  You can get a stamp to prove that, July 2019,Small but intense
dragonphoe18,"London, United Kingdom","If you go to Mitad del Mundo then be sure to pop 'around the corner' and come here and learn some new things. Something for all the family, you get a guided tour with some history, culture and some 'games' to show what it means to be on the Equatorial line and the difference", March 2020,Alot of fun and very interesting too!
Chris H,,A great museum and guided tour throughout the exhibits with great information and good hands-on explanations of the equator and its effects!  recommend this even more than Mitad Del Mundo, February 2020,Informative and good hands-on fun!
tonytsheng,,"This is a must - you are right on the equator. Fun visit too, they do some experiments and have a few exhibits about indigenous peoples.", February 2020,Must see
Whissely,"Sao Paulo, SP",They’ve got lots of activities to demonstrate that you are on the equator and I’m sure kids will love the activities. The place does need some revamping though to make it more professional and to be able to handle larger crowds. I wouldn’t buy any souveneirs there though - much, February 2020,Fun Visit
Jamielills22,"Bournemouth, United Kingdom","Really came here to see the effects of the equator which was really cool. And learning unique characteristics Quito has as a result of being on the equator. Felt like they tried to add more to it to make more of an attraction with information on indigenous people and chocolate,", January 2020,Cool to visit but trying to add more than just the equator line
George S,"Miami Beach, Florida",This is basically an outdoor museum with two missions: hi-light the culture of the indigenous peoples of Ecuador  and demonstrate  of the physics associated with the line of Equator. The guides did an excellent job in describing the various qualities of  the indigenous peoples, February 2020,Not the true equator but OK to visit
Lee K,"Prairie Village, Kansas",You are right on the equator and can perform several demonstrations that point out its phenomenon. There are several huts that highlight the cultures and animals of the area. A truly fascinating place., February 2020,Not to be missed
TrotaAye3,,Great place to learn a little bit about the indigenous cultures of Ecuador and also experience the equator with different experiments and facts, February 2020,Culture and science! 
James,,"It's pretty cool. The statues mimicking ancient culture were well done, if not a tad commercial looking.  There's a bit where you can balance an egg on a nail, because of something to do with the gravity at the equator.  It's okay; takes maybe 30 minutes to see and is well worth", February 2020,"Like a museum of Incan culture,a la Disneyland"
Ken Q,"Denver, United States",This place is on the Equator so it is very interesting.  Worth a stop to learn about the Equator and enjoy some quirky items like shrunken human heads., February 2020,Fascinating Place
mariaissa2016,"Vancouver, Canada","This is a pleasant and informative tourist trap. It's fun, the info is good, the guides are not too robotic. The coriolis effect demo was good, as was the shrunken head. Glad I went, but once was plenty.", February 2020,Interesting but a little too touristy.
Dunlewey,DC,Great to step on the latitude line.  The activities were interesting and guides were entertaining and educational. , February 2020,Interesting!
Bob W,,Don't let the low entrance fee ($4) and the first views put you off-this is a real good way to spend the afternoon.  From the group participation to the demonstrations of things that you'd always heard to the Zero Latitude Beer this place never disappoints.   Don't miss it., January 2020,Unexpectedly Excellent 
Josefina Og,"Buenos Aires, Argentina","It's an interactive outdoor museum, you get to see things (like the old houses in which the natives used to live and the rites they would perform, like the shrinking of heads) but there are also plenty of interactive activities so that you can experience what it means exactly to", January 2020,A must!
greengirl68,"Nashville, Tennessee","I know, I know, the ""experiments"" may be more trick than science, but our guide was so awesome, we just didn't care. She brought the experience to life and made the whole tour interesting and fun. The guide makes a huge difference.   Along with the goofy experiments, there was a", January 2020,"Maybe hokey, but we had a great time"
Aussienando,,"Our guide at Intinan Museum, Ibeth, was excellent - great knowledge of Ecuador and combined with a perfect amount of humour.  We learnt a little about Ecuador in addition to being on the equator - with some experiments (water, egg, walking).  We really enjoyed our visit and I'd", January 2020,"Brilliant - informative, interactive and fun !  The equator......."
Cavydad,"Camarillo, California","Walk the line, if you dare! Also taste the cocoa bean. Lot of fun treats. On the real equator. At times hokey, take the shrunken heads and the blow tarts. Rather a distance from downtown Quito. Find a tour that includes it as the roads and drivers can be very independent. Fun", January 2020,"Walk the line, if you dare!"
NCE,"Quito, Ecuador","As an Ecuadorian you are supposed to know everything about the equator line but there is a few misconceptions.  Fortunalety, the Inti Ñan Museum is a great source of information and history. You'll get to learn about Ecuadorian fauna, geography, native indigenous people,", January 2020,It is good to be back on the real equator line
rover257,Ireland,Some good info but mainly a bit of fun not to be taken too seriously. Only $4 but need add a couple of tips also. The various 'experiments' are very dubious but a bit of a laugh with a crowd. Worth visiting if you are passing., October 2019,Worth a visit.
Eric H,"Moab, Utah",This museum is on the real equator on like the large government equator park just down the road. The effort that they’ve made here to re-create cultural villages in experiences is outstanding as are the science experiments and guides. Our whole family loved it and it is a must, December 2019,Outstanding museum/experiments on the equator
debrad328,,This place was better for middle of the earth pictures! They had more interactive things to do regarding the middle of the earth. Really enjoyed this place!, November 2019,Enjoyed this site for middle of the earth pictures!
301lisa33,"Coventry, United Kingdom",This museum located on the equator (as identified by GPS) has some interesting interactive demos.  The entrance fee is reasonable.  The guide was good at explaining the science.  There are also a few cultural exhibits which will interest some., November 2019,"Excellent, for all ages"
rpantoga,"Chicago, Illinois","Very interesting.  Lots of great trivia information and interactive activities.  Balance the egg, can you walk a straight line?   ", December 2019,nothing like it
Savage1960,"Peachtree Corners, Georgia","My teen and I thoroughly enjoyed this interactive museum and tour.  Sure, the guides' script may be a bit hokey, but so what?   Standing on the equator, trying to balance an egg on a nail, seeing water change direction as you step on and either side of the equator line - good", November 2019,Interactive and Educational
Md Ahsan,"Potomac, Maryland","Display of amazonian life is not very exciting especially if you have seen any discovery documentary or read an article or two on National Geographic Magazine! What bothered me is the staff trying to explain how gravity works on the equatorial line, seemed like street magic than", October 2019,Not very interesting
Sportyrod,"Hobart, Australia","This museum was so much fun. Not only can you stand on the equator line, you can see an experiment on how the water flushes in opposite directions depending on which hemisphere you’re in. Also lots of displays about the locality.", November 2019,Which way will the water flush?
k_girl883,"Russell, Canada","No more then 45minutes -1 hour is needed there. A fun stop to see the equator line and it’s effects. The location has a traditional history house, a reproduced burial mound and a lovely garden. You will be challenged to balance an egg on a nail (which is harder then it sounds).", October 2019,A fun stop while in the area
Rich30306,"Atlanta, Georgia","A definite stop has to be at the equator. The museum has a $4 entrance fee. Once inside a guide walks you around and explains the area, people and equator. It’s rather corny...the experiments on the equator are real cool. ", November 2019,Corny but Fun
FlyingPuck27,"Portland, Oregon","It would be more interesting to visit if they were not presenting their fake ""science"". Check YouTube before you go.", October 2019,"Beware of their fake ""science"" experiments."
Aurora Junkie,"Whitehaven, United Kingdom",We were short on time on this visit here as had to fit it in before our flight home due to an itinery change beyond our control. We had a guide who took us round the museum and showed us around everything. Also did some experiments with us which were really interesting. Again, October 2019,Loved our visit 
Mickirish,"Belmont, Massachusetts","This open air ""museum"" is on the real equator line, and that's only one of the reasons why it's so unique.  Your guide will take you through the various exhibits, including some experiments on the line itself.  While there, don't forget to go into the ""chocolate house"" and see", May 2019,Quirky and fun
terrycarlson2018,"Asheville, North Carolina",If you in Quito - you are too close not to visit the equator line!  The person working in the museum shared lots of fun and interesting facts about the equator., September 2019,WE had a great guide...interesting!
Brandylady,"Aberdeen, United Kingdom","Visited here with a group on same adventure holiday . The museum itself shows some interesting stuff shrunken heads, glass case with huge tarantula, small fish that can enter your body via urethra etc. But the experiments on the actual equator line were so much fun and so", October 2019,Equator line experiments so interesting!
Maria F,"Ottawa, Canada","I visited this bizarre museum located on the equator with my 80 yo mom and two teenage nieces. It had everything from totems to a tomb, to a detailed presentation on how to make a shrunken human head, which I could have done without.  But the actual equator stuff was super", August 2019,Weird! And that's why you should go.
Stay430758,,"We both very much enjoyed the visit, nice layout. Also, the staff was very pleasant. Definitely worth the time!", January 2019,Museum visit
sndovale,"Lincoln, California",We went here on our own and paid for the guide. It was well worth it. You learn some other interesting facts and can stand on the actual equator., September 2019,This is he one
Tavuk,"Brightwater, New Zealand",I visited here with Community Adventures tour from the Community Hostel in Quito.  It was great fun as well as informative.  Learning about the indigenous people and their customs was good as was the fun and games on the equator line.  Don't forget your passport if you want to, September 2019,Very interesting and fun
Ciara Led,"Makati, Philippines",This is the place you need to go to to experience the center of the earth! It was amazing! You will see and feel the difference being right at the center of the earth!, September 2019,The real Mitad del Mundo 
Robert,,For a real experience of the center of earth visit here. With good guides to explain where you are and leaving with a good understanding of where you were., September 2019,Intinan Museum
Rick R,"DeWitt, Michigan","We visited the museum on September 12, 2019 on a day that was not crowded at all. An English speaking guide was available for us that was engaging, informative, and humorous. The explanations of the indigenous peoples, the shrunken heads, and jungle wildlife was great. The time", September 2019,Exceeded expectations with a great guide
Les De Q,"Utrecht, The Netherlands","You will be entertained, amazed and convinced! A guide will take you through the grounds in a small group, informing you about Ecuador and is history and giving you the opportunity to join in with a traditional dance. You will also get hands on opportunities to engage in", May 2019,Take it with a pinch of salt 
DestinationEnjoy,,"Fun and interactive visit, if a bit short. You get to learn about phenomena that occur near the equator line as well as a little bit about Ecuador and its people.   The English speaking guide attached to the museum is very good.  Be sure to bring your passport to get a stamp on", September 2019,Neat place!
Kaye N,"Provo, Utah",This was a fun place - $4 each and you go with a guide who explains things and does the fun experiments on the equator. It's a bit cheesy but we went to this one and Mitad del Mundo and we preferred this smaller one.   Go early before the tour buses get there. The parking is, August 2019,"THE ""REAL"" Equator Spot"
Leandro B,"Sao Paulo, SP","Very easy to get from Quito Downtown, the Uber ride cost $13 each way and takes less than 30min. If you are in the rush you can see all in 1 hour. ", July 2019,Great experience and learning about the difference on the hemispheres
travelbug31970,"Washington DC, District of Columbia","We loved the middle of the world ""games,"" shrunken heads, and indigenous history. The chocolate tasting and explanation were also awesome!", June 2019,Cool spot for families
barb s,"Quito, Ecuador","I went here with my Spanish Language Teacher to practice my spanish and have some tourist fun.  It was very fun and learned little about life in Ecuador.  Played the Equator games, got a passport stamp and rode a city bus.  It was a great adventure.  A bit far from Quito but I", August 2019,Fun way to experience the Equator
betty l,"Brampton, Canada",This museum was part of our tour to Mitad Del Mundo. We didnt know that we had to drop by this museum before going to the nearby Mitad Del Mundo. The advantage of this attraction is that they have interesting experiments to prove that the real equator line is in their museum, May 2019,Much Better Than Mitad Del Mundo
AdventureFranzi,"Washington DC, District of Columbia",Found this in researching Mitad Del Mundo trips. This museum is really more of an outdoor park discussing different tribal lifestyles and the effect nature has on their life. Woven into the storyline is the fact that the museum sits on the gps measured equator line (as opposed, August 2019,"Hidden gem, very worth the trip"
Lil R,,"The museum was extremely interesting, the guide had lots of knowledge and interesting facts. Its was really interactive with lots of different tasks to do on the line of the equator. As well as this you find out about Ecuadors past. It is well worth a visit we really enjoyed it.", August 2019,Interesting and interactive
Val,"Sao Paulo, SP",It´s a really cool experience! Try balancing an egg on a nail if you can.  The museum is more interesting attraction than the Midle of The World., August 2019,Cool experience
Awa909,"Ottawa, Canada","After visiting The Mitad del Mundo monument -go to Intinan Museum, where the actual equator  is. The natives got it right!!! Experience some of the cool tests offered there to show and prove what happens north and south of the equator.. ( For example water going down the drain", September 2018,Not to be missed!!
MilkmaidTS,Todos Santos,"This was such an interesting and colorful experience. Yes...touristy, but very well done. We watched a great traditional dancer, saw amazing historical exhibits...shrunken heads and all...guinea pigs (learned they are a food staple), how people lived in early days, and the fun", July 2019,Worth a visit!
Robert D,"Brooklyn, New York","This museum displays the indigenous cultures of Ecuador.  I enjoyed the chocolate making display.  It also sits on the equator, as measured by GPS.  There are some experiments to show the effects of the equator, but the real treasures are the displays of native culture.", June 2019,Interesting museum
haroldvanderschmidt,"Dubai, United Arab Emirates",The Museum was part of my tour in Quito. It was very interesting and educational. Some activities were included like balancing an egg on a head of a nail at the equator line. If you visit Quito you should not miss it., May 2019,Quito Highlight
cjschreiner,"Chandler, Arizona",The true center of the world. Fun tour that is provided that is an interactive tour. Balance an egg and try walking a straight line on the equator. , April 2019,Interactive tour 
